country;Argentina;Bolivia;Brazil;Chile;Colombia;Ecuador;Paraguay;Peru;Uruguay;Venezuela
1960;41.4;45.1;44.3;68;62.3;41.9;40.8;57.1;47;63.1
1961;41.4;46.2;44.8;68.6;62.5;41.9;40.8;57.5;46.4;63.4
1962;41.5;47.1;45.2;68.2;62.3;41.9;40.8;57.4;45.9;63.7
1963;40.7;48;45.7;66.8;61.6;41.9;40.8;57;45.3;64.2
1964;40;48.7;46.1;64.4;60.3;41.9;40.8;56.2;44.8;64.8
1965;39.4;49.5;46.5;62;59;41.9;40.8;55.3;44.2;65.3
1966;38.8;50.3;47;59.6;57.8;41.9;40.8;54.5;43.6;65.9
1967;38.2;51.1;47.4;57.2;56.5;41.9;40.8;53.7;43.1;66.5
1968;37.6;51.8;47.8;54.8;55.3;41.6;40.8;52.9;42.5;67.1
1969;36.7;52.6;48.5;51.8;53.7;41.2;40.8;51.7;41.9;67.5
1970;36.1;52.6;49.1;50.6;53;41;40.8;51.1;41.6;67.3
1971;35.6;52.3;49.8;50.1;52.7;41;40.8;50.7;41.5;66.7
1972;35.3;51.5;50.5;50.2;52.6;41.1;40.8;50.3;41.6;65.7
1973;35.2;50.3;51.3;51;52.9;41.7;40.8;50.1;41.8;64.3
1974;35.5;49.2;52.2;51.7;53.1;42.3;40.8;49.8;42.1;62.9
1975;36.1;48;53;52.5;53.4;42.9;40.8;49.6;42.3;61.6
1976;36.9;46.9;53.8;53.2;53.7;43.6;40.8;49.3;42.5;60.2
1977;37.9;45.7;54.6;54;53.9;44.2;40.8;49.1;42.7;58.8
1978;38.8;44.6;55.5;54.7;54.2;44.8;40.8;48.9;43;57.4
1979;39.7;43.7;56.3;55.3;54.3;45.5;40.8;48.6;43.2;56.5
1980;40.4;43;57.1;55.8;54.3;46.1;40.8;48.2;43.3;55.8
1981;41;42.5;57.8;56.1;54.1;46.7;40.8;47.8;43.4;55.3
1982;41.5;42.2;58.2;56.2;53.7;47.3;40.8;47.3;43.4;55
1983;41.8;42.2;57.9;56.2;53.3;48;40.8;46.7;43.3;54.9
1984;42.1;42.2;58;56.2;52.8;48.6;40.8;46.3;43.2;54.5
1985;42.9;42.1;58.2;56.2;52.3;49.2;40.8;45.9;43;54.2
1986;43.7;42.1;58.7;56.3;51.8;49.8;40.8;45.6;42.9;53.1
1987;44.5;42.1;59.7;56.4;51.4;50.4;40.8;45.4;42.7;51.2
1988;45.3;42.1;60.7;56.6;50.9;50.9;40.8;45.2;42.6;49.3
1989;46.1;42;60.3;56.6;50.6;51.3;41.5;45;42.6;47.2
1990;46.1;42.6;59;56.3;50.7;51.7;42.9;44.8;42.7;45
1991;45.9;43.6;58.8;56.1;51.1;52.1;45;44.6;42.8;44
1992;45.9;45.3;58.1;56;51.8;52.5;47.8;44.4;43;44.1
1993;46.4;47.4;57.9;55.7;52.9;52.7;51.2;44.9;43.2;44.8
1994;46.9;50.1;58.5;55.5;54.2;52.6;53.7;46.1;43.4;45.8
1995;47.7;52.8;59.8;55.6;55.4;52.2;55.1;47.9;43.6;47.2
1996;48.8;54.9;59.7;55.5;56.5;51.5;55.8;50.3;43.8;48.3
1997;49.6;56.5;59.6;55.1;57.4;52.6;55.8;52.8;44.1;48.7
1998;50;58.3;59.4;54.5;58;53.3;55.1;53.2;44.3;48.8
1999;50.8;58.7;59.1;54;58.1;54.1;54.7;53.4;44.5;48.8
2000;51.7;58.9;58.8;53.3;57.7;54.9;55.2;53.4;44.7;49
2001;51.7;58.7;58.4;52.5;56.8;55.6;55.2;52.9;44.9;49.1
2002;51.4;58.1;57.9;51.8;56;54.7;54.7;51.7;45.1;49.4
2003;50.8;57.5;57.4;51.1;55;54;54.1;52;45.3;50.3
2004;49.4;57.3;56.8;50.3;54.4;53.4;53.8;51.8;45.5;50
2005;47.9;56.4;56.2;49.6;54.2;53.2;52.9;51.1;45.8;49.3
2006;46.7;55.1;55.5;49;54.6;52.4;52.1;50;45.8;48.6
2007;45.8;54;54.9;48.7;54.5;51.4;51.5;49.4;45.8;48
2008;44.9;51.8;54.3;48.5;54.7;50.5;51.4;48.4;45.5;46.9
2009;44;49.7;53.8;48.4;54.6;49.2;51.2;47.2;44.8;46.9
2010;43;48.1;53.3;48.2;54.2;47.8;50.2;46.1;43.5;46.9
2011;42.3;47.4;53.1;47.9;53.7;47.2;49.6;45.3;42.6;46.9
2012;41.8;47.1;52.6;47.6;53.4;46.5;49.9;44.6;41.5;46.9
2013;41.6;47;52.2;47.5;52.7;46;49.2;44.1;40.6;46.9
2014;41.6;46.7;51.9;47.5;52.1;45.8;48.4;43.9;40.1;46.9
2015;41.8;46.3;51.6;47.5;51.7;45.6;48.4;43.7;40.1;46.9
2016;42.1;45.7;51.4;47.6;51.3;45.2;48.4;43.6;39.9;46.9
2017;42.3;45.1;51.3;47.7;50.9;45.2;47.8;43.7;39.8;46.9
