country;Argentina;Bolivia;Brazil;Chile;Colombia;Ecuador;Paraguay;Peru;Uruguay;Venezuela
1960;116000000000;4820000000;247000000000;29400000000;36500000000;10200000000;1950000000;27000000000;13900000000;101000000000
1961;122000000000;4920000000;273000000000;30900000000;38400000000;10400000000;2090000000;29000000000;14200000000;105000000000
1962;121000000000;5190000000;287000000000;32200000000;40500000000;10800000000;2150000000;31900000000;14000000000;114000000000
1963;114000000000;5530000000;289000000000;34000000000;41700000000;11300000000;2260000000;33300000000;14000000000;118000000000
1964;126000000000;5790000000;300000000000;34900000000;44400000000;12100000000;2350000000;35500000000;14400000000;131000000000
1965;139000000000;6120000000;309000000000;35200000000;45800000000;12700000000;2500000000;37500000000;14500000000;137000000000
1966;138000000000;6510000000;322000000000;39200000000;48200000000;12700000000;2550000000;40500000000;15000000000;139000000000
1967;143000000000;6960000000;337000000000;40600000000;50200000000;13200000000;2780000000;42100000000;14400000000;143000000000
1968;150000000000;6120000000;376000000000;42100000000;53400000000;13500000000;2910000000;42200000000;14700000000;153000000000
1969;164000000000;6310000000;413000000000;43700000000;56900000000;14100000000;3040000000;43600000000;15600000000;154000000000
1970;169000000000;6280000000;449000000000;44500000000;60900000000;15100000000;3210000000;45100000000;15900000000;166000000000
1971;179000000000;6590000000;499000000000;48700000000;64500000000;16000000000;3390000000;47200000000;15900000000;169000000000
1972;182000000000;7120000000;560000000000;48200000000;69500000000;16900000000;3610000000;48800000000;15700000000;171000000000
1973;187000000000;7530000000;638000000000;45800000000;74100000000;19200000000;3880000000;51900000000;15700000000;183000000000
1974;197000000000;7750000000;695000000000;46900000000;78400000000;21400000000;4200000000;56800000000;16200000000;187000000000
1975;197000000000;8310000000;732000000000;40800000000;80200000000;23700000000;4490000000;59200000000;17200000000;192000000000
1976;193000000000;8700000000;803000000000;42400000000;84000000000;25500000000;4830000000;60100000000;17800000000;207000000000
1977;206000000000;9130000000;840000000000;46800000000;87500000000;25900000000;5380000000;60300000000;18100000000;220000000000
1978;197000000000;9320000000;867000000000;50400000000;94900000000;27300000000;6030000000;58700000000;19100000000;225000000000
1979;217000000000;9330000000;926000000000;54700000000;100000000000;28400000000;6750000000;61100000000;20300000000;227000000000
1980;226000000000;9200000000;1010000000000;59100000000;104000000000;29400000000;7540000000;64700000000;21400000000;217000000000
1981;213000000000;9230000000;966000000000;62900000000;106000000000;31100000000;8230000000;68300000000;21800000000;216000000000
1982;203000000000;8860000000;972000000000;56000000000;107000000000;31300000000;8110000000;68200000000;19700000000;211000000000
1983;211000000000;8510000000;939000000000;53200000000;109000000000;31100000000;7860000000;61100000000;17600000000;203000000000
1984;215000000000;8490000000;988000000000;55400000000;113000000000;32000000000;8090000000;63300000000;17400000000;206000000000
1985;199000000000;8350000000;1070000000000;57600000000;116000000000;33200000000;8450000000;64600000000;17700000000;207000000000
1986;215000000000;8130000000;1150000000000;60700000000;123000000000;34400000000;8870000000;70700000000;19200000000;220000000000
1987;221000000000;8330000000;1190000000000;64600000000;130000000000;34300000000;9540000000;77500000000;20800000000;228000000000
1988;215000000000;8570000000;1190000000000;69300000000;135000000000;36300000000;10100000000;70200000000;21100000000;241000000000
1989;199000000000;8900000000;1230000000000;76200000000;140000000000;36700000000;10800000000;61600000000;21300000000;221000000000
1990;194000000000;9310000000;1190000000000;78800000000;148000000000;38000000000;11300000000;58500000000;21400000000;235000000000
1991;219000000000;9800000000;1210000000000;84900000000;151000000000;39700000000;11600000000;59800000000;22100000000;258000000000
