year;total_world_ gdp;total_samerica_gdp
1960;9.0124237;0.58777
1961;9.409674;0.62991
1962;9.929296;0.65874
1963;10.444524;0.66309
1964;11.142671;0.70644
1965;11.787769;0.73932
1966;12.482765;0.76366
1967;13.037325;0.79324
1968;13.933349;0.85393
1969;14.787608;0.91425
1970;17.146445;0.97499
1971;17.889726;1.04928
1972;18.923704;1.12283
1973;20.15885;1.22611
1974;20.562261;1.31065
1975;20.79443;1.3549
1976;21.888634;1.44633
1977;22.75964;1.51911
1978;23.652173;1.55475
1979;24.645161;1.65058
1980;25.504431;1.74834
1981;26.0052352;1.70256
1982;26.0995936;1.68517
1983;26.7332362;1.64137
1984;27.9576075;1.70668
1985;29.0046889;1.7819
1986;29.972332;1.91
1987;31.257712;1.98407
1988;32.742951;1.99657
1989;35.395151;2.0055
1990;37.0866234;1.98431
1991;37.7073072;2.0659
1992;38.4682468;2.12706
1993;39.0617138;2.2092
1994;40.1965752;2.3146
1995;41.5763059;2.4018
1996;43.0023344;2.4639
1997;44.6287838;2.5803
1998;45.7484888;2.6015
1999;47.2307963;2.5738
2000;49.329621;2.659
2001;50.2698925;2.6852
2002;51.4198158;2.691
2003;52.8350477;2.7324
2004;55.1550893;2.9289
2005;57.2827032;3.0705
2006;59.7611338;3.2477
2007;62.3418034;3.4637
2008;63.4126081;3.6373
2009;62.3285851;3.5932
2010;65.025964;3.8305
2011;67.0512902;4.013
2012;68.6898155;4.1105
2013;70.5144877;4.2428
2014;72.5187769;4.2549
2015;74.2391661;3.7911
2016;75.9972122;3.7227
2017;78.4347575;3.7757
